,Match ID,Match,Team,Position,Batter Name,Player ID,Out,Runs,Balls,4s,6s,Strike Rate
0,1304047,Super Kings Vs KKR,Super Kings,1,Ruturaj Gaikwad ,1060380,c Rana b Yadav,0,4,0,0,0.00
1,1304047,Super Kings Vs KKR,Super Kings,2,Devon Conway ,379140,c SS Iyer b Yadav,3,8,0,0,37.50
2,1304047,Super Kings Vs KKR,Super Kings,3,Robin Uthappa ,35582,st †Jackson b Varun,28,21,2,2,133.33
3,1304047,Super Kings Vs KKR,Super Kings,4,Ambati Rayudu ,33141,run out (SS Iyer/Narine),15,17,1,1,88.23
4,1304047,Super Kings Vs KKR,Super Kings,5,Ravindra Jadeja (c),234675,not out ,26,28,0,1,92.85
5,1304047,Super Kings Vs KKR,Super Kings,6,Shivam Dube ,714451,c Narine b Russell,3,6,0,0,50.00
6,1304047,Super Kings Vs KKR,Super Kings,7,MS Dhoni †,28081,not out ,50,38,7,1,131.57
7,1304047,Super Kings Vs KKR,KKR,1,Ajinkya Rahane ,277916,c Jadeja b Santner,44,34,6,1,129.41
8,1304047,Super Kings Vs KKR,KKR,2,Venkatesh Iyer ,851403,c †Dhoni b Bravo,16,16,2,0,100.00
9,1304047,Super Kings Vs KKR,KKR,3,Nitish Rana ,604527,c Rayudu b Bravo,21,17,2,1,123.52
10,1304047,Super Kings Vs KKR,KKR,4,Shreyas Iyer (c),642519,not out ,20,19,1,0,105.26
11,1304047,Super Kings Vs KKR,KKR,5,Sam Billings ,297628,c Deshpande b Bravo,25,22,1,1,113.63
12,1304047,Super Kings Vs KKR,KKR,6,Sheldon Jackson †,237696,not out ,3,3,0,0,100.00
13,1304048,Mumbai Vs Capitals,Mumbai,1,Rohit Sharma (c),34102,c Powell b Kuldeep Yadav,41,32,4,2,128.12
14,1304048,Mumbai Vs Capitals,Mumbai,2,Ishan Kishan †,720471,not out ,81,48,11,2,168.75
15,1304048,Mumbai Vs Capitals,Mumbai,3,Anmolpreet Singh ,851261,c Lalit Yadav b Kuldeep Yadav,8,9,0,0,88.88
16,1304048,Mumbai Vs Capitals,Mumbai,4,Tilak Varma ,1170265,c Shaw b Ahmed,22,15,3,0,146.66
17,1304048,Mumbai Vs Capitals,Mumbai,5,Kieron Pollard ,230559,c Seifert b Kuldeep Yadav,3,6,0,0,50.00
18,1304048,Mumbai Vs Capitals,Mumbai,6,Tim David ,892749,c Mandeep Singh b Ahmed,12,8,0,1,150.00
19,1304048,Mumbai Vs Capitals,Mumbai,7,Daniel Sams ,826901,not out ,7,2,0,1,350.00
20,1304048,Mumbai Vs Capitals,Capitals,1,Prithvi Shaw ,1070168,c †Ishan Kishan b Basil Thampi,38,24,4,2,158.33
21,1304048,Mumbai Vs Capitals,Capitals,2,Tim Seifert ,625964, b Ashwin,21,14,4,0,150.00
22,1304048,Mumbai Vs Capitals,Capitals,3,Mandeep Singh ,398506,c Tilak Varma b Ashwin,0,2,0,0,0.00
23,1304048,Mumbai Vs Capitals,Capitals,4,Rishabh Pant (c)†,931581,c David b Mills,1,2,0,0,50.00
24,1304048,Mumbai Vs Capitals,Capitals,5,Lalit Yadav ,930189,not out ,48,38,4,2,126.31
25,1304048,Mumbai Vs Capitals,Capitals,6,Rovman Powell ,820351,c Sams b Basil Thampi,0,2,0,0,0.00
26,1304048,Mumbai Vs Capitals,Capitals,7,Shardul Thakur ,475281,c Sharma b Basil Thampi,22,11,4,0,200.00
27,1304048,Mumbai Vs Capitals,Capitals,8,Axar Patel ,554691,not out ,38,17,2,3,223.52
