,Match ID,Match,Team,Bowler Name,Player ID,Overs,Made INs,Runs,Wickets,Economy Rate,Dots,4s,6s,Wides,No Balls
0,1304047,Super Kings Vs KKR,KKR,Umesh Yadav,376116,4,0,20,2,5.00,15,1,1,2,1
1,1304047,Super Kings Vs KKR,KKR,Shivam Mavi,1079848,4,0,35,0,8.75,12,3,2,1,1
2,1304047,Super Kings Vs KKR,KKR,Varun Chakravarthy,1108375,4,0,23,1,5.75,11,1,1,1,0
3,1304047,Super Kings Vs KKR,KKR,Sunil Narine,230558,4,0,15,0,3.75,10,0,0,0,0
4,1304047,Super Kings Vs KKR,KKR,Andre Russell,276298,4,0,38,1,9.50,7,5,1,0,0
5,1304047,Super Kings Vs KKR,Super Kings,Tushar Deshpande,822553,3,0,23,0,7.66,9,4,0,0,0
6,1304047,Super Kings Vs KKR,Super Kings,Adam Milne,450860,2.3,0,19,0,7.60,9,2,1,0,0
7,1304047,Super Kings Vs KKR,Super Kings,Mitchell Santner,502714,4,0,31,1,7.75,5,1,1,0,0
8,1304047,Super Kings Vs KKR,Super Kings,Dwayne Bravo,51439,4,0,20,3,5.00,11,2,0,0,0
9,1304047,Super Kings Vs KKR,Super Kings,Shivam Dube,714451,1,0,11,0,11.00,1,2,0,0,0
10,1304047,Super Kings Vs KKR,Super Kings,Ravindra Jadeja,234675,4,0,25,0,6.25,8,1,1,0,0
11,1304048,Mumbai Vs Capitals,Capitals,Shardul Thakur,475281,4,0,47,0,11.75,8,3,4,1,0
12,1304048,Mumbai Vs Capitals,Capitals,Khaleel Ahmed,942645,4,0,27,2,6.75,13,5,0,0,0
13,1304048,Mumbai Vs Capitals,Capitals,Axar Patel,554691,4,0,40,0,10.00,3,4,1,0,0
14,1304048,Mumbai Vs Capitals,Capitals,Kamlesh Nagarkoti,1070188,2,0,29,0,14.50,4,5,1,1,0
15,1304048,Mumbai Vs Capitals,Capitals,Kuldeep Yadav,559235,4,0,18,3,4.50,8,0,0,0,0
16,1304048,Mumbai Vs Capitals,Capitals,Lalit Yadav,930189,2,0,15,0,7.50,2,1,0,0,0
17,1304048,Mumbai Vs Capitals,Mumbai,Daniel Sams,826901,4,0,57,0,14.25,4,6,3,2,0
18,1304048,Mumbai Vs Capitals,Mumbai,Jasprit Bumrah,625383,3.2,0,43,0,12.90,4,7,1,0,0
19,1304048,Mumbai Vs Capitals,Mumbai,Basil Thampi,732291,4,0,35,3,8.75,11,2,2,3,0
20,1304048,Mumbai Vs Capitals,Mumbai,Murugan Ashwin,528067,4,0,14,2,3.50,14,1,0,0,0
21,1304048,Mumbai Vs Capitals,Mumbai,Tymal Mills,459257,3,0,26,1,8.66,6,2,1,2,0
22,1304049,RCB Vs Punjab Kings,Punjab Kings,Sandeep Sharma,438362,4,0,37,0,9.25,10,4,2,0,0
23,1304049,RCB Vs Punjab Kings,Punjab Kings,Arshdeep Singh,1125976,4,0,31,1,7.75,11,0,2,3,0
24,1304049,RCB Vs Punjab Kings,Punjab Kings,Odean Smith,820691,4,0,52,0,13.00,9,5,4,1,0
25,1304049,RCB Vs Punjab Kings,Punjab Kings,Rahul Chahar,1064812,4,0,22,1,5.50,8,0,0,1,0
26,1304049,RCB Vs Punjab Kings,Punjab Kings,Harpreet Brar,1168641,3,0,38,0,12.66,5,0,4,1,0
27,1304049,RCB Vs Punjab Kings,Punjab Kings,Liam Livingstone,403902,1,0,14,0,14.00,1,0,1,1,0
28,1304049,RCB Vs Punjab Kings,RCB,David Willey,308251,3,0,28,0,9.33,5,3,1,0,0
29,1304049,RCB Vs Punjab Kings,RCB,Mohammed Siraj,940973,4,0,59,2,14.75,9,3,4,6,0
30,1304049,RCB Vs Punjab Kings,RCB,Shahbaz Ahmed,1159711,1,0,6,0,6.00,3,1,0,0,0
31,1304049,RCB Vs Punjab Kings,RCB,Akash Deep,1176959,3,0,38,1,12.66,4,2,3,0,0
32,1304049,RCB Vs Punjab Kings,RCB,Wanindu Hasaranga de Silva,784379,4,0,40,1,10.00,10,1,4,1,0
33,1304049,RCB Vs Punjab Kings,RCB,Harshal Patel,390481,4,0,36,1,9.00,10,1,2,5,0
34,1304050,Super Giants Vs Titans,Titans,Mohammed Shami,481896,4,0,25,3,6.25,13,4,0,0,0
35,1304050,Super Giants Vs Titans,Titans,Varun Aaron,360911,4,0,45,2,11.25,5,6,1,3,0
36,1304050,Super Giants Vs Titans,Titans,Lockie Ferguson,493773,4,0,24,0,6.00,11,1,1,1,0
37,1304050,Super Giants Vs Titans,Titans,Hardik Pandya,625371,4,0,37,0,9.25,10,6,1,0,0
38,1304050,Super Giants Vs Titans,Titans,Rashid Khan,793463,4,0,27,1,6.75,8,0,2,0,0
39,1304050,Super Giants Vs Titans,Super Giants,Dushmantha Chameera,552152,3,0,22,2,7.33,11,4,0,1,0
40,1304050,Super Giants Vs Titans,Super Giants,Avesh Khan,694211,3.4,0,33,1,9.00,10,5,1,0,0
41,1304050,Super Giants Vs Titans,Super Giants,Mohsin Khan,1132005,2,0,18,0,9.00,4,3,0,0,0
42,1304050,Super Giants Vs Titans,Super Giants,Ravi Bishnoi,1175441,4,0,34,0,8.50,11,3,2,2,0
43,1304050,Super Giants Vs Titans,Super Giants,Krunal Pandya,471342,4,0,17,1,4.25,12,1,0,0,0
44,1304050,Super Giants Vs Titans,Super Giants,Deepak Hooda,497121,3,0,31,1,10.33,3,2,2,0,0
45,1304051,Royals Vs Sunrisers,Sunrisers,Bhuvneshwar Kumar,326016,4,0,29,1,7.25,14,2,2,1,2
46,1304051,Royals Vs Sunrisers,Sunrisers,Romario Shepherd,677077,4,0,33,1,8.25,12,3,2,1,0
47,1304051,Royals Vs Sunrisers,Sunrisers,Umran Malik,1246528,4,0,39,2,9.75,12,4,2,2,1
48,1304051,Royals Vs Sunrisers,Sunrisers,Washington Sundar,719715,3,0,47,0,15.66,3,1,5,0,1
49,1304051,Royals Vs Sunrisers,Sunrisers,T Natarajan,802575,4,0,43,2,10.75,8,5,2,2,0
50,1304051,Royals Vs Sunrisers,Sunrisers,Abhishek Sharma,1070183,1,0,15,0,15.00,1,1,1,0,0
51,1304051,Royals Vs Sunrisers,Royals,Trent Boult,277912,4,1,23,2,5.75,16,2,1,3,0
52,1304051,Royals Vs Sunrisers,Royals,Prasidh Krishna,917159,4,1,16,2,4.00,16,1,1,0,0
53,1304051,Royals Vs Sunrisers,Royals,Nathan Coulter-Nile,261354,3,0,48,0,16.00,4,5,3,1,1
54,1304051,Royals Vs Sunrisers,Royals,Ravichandran Ashwin,26421,4,0,21,0,5.25,8,1,0,0,0
55,1304051,Royals Vs Sunrisers,Royals,Yuzvendra Chahal,430246,4,0,22,3,5.50,8,1,0,0,0
56,1304051,Royals Vs Sunrisers,Royals,Riyan Parag,1079434,1,0,14,0,14.00,0,1,1,0,0
57,1304052,KKR Vs RCB,RCB,David Willey,308251,2,0,7,0,3.50,6,0,0,0,0
58,1304052,KKR Vs RCB,RCB,Mohammed Siraj,940973,4,0,25,1,6.25,13,4,0,0,0
59,1304052,KKR Vs RCB,RCB,Akash Deep,1176959,3.5,0,45,3,11.73,10,5,3,0,1
60,1304052,KKR Vs RCB,RCB,Wanindu Hasaranga de Silva,784379,4,0,20,4,5.00,15,0,2,0,0
61,1304052,KKR Vs RCB,RCB,Harshal Patel,390481,4,2,11,2,2.75,19,2,0,0,0
62,1304052,KKR Vs RCB,RCB,Shahbaz Ahmed,1159711,1,0,16,0,16.00,2,0,2,1,0
63,1304052,KKR Vs RCB,KKR,Umesh Yadav,376116,4,0,16,2,4.00,14,2,0,0,0
64,1304052,KKR Vs RCB,KKR,Tim Southee,232364,4,0,20,3,5.00,16,2,0,2,0
65,1304052,KKR Vs RCB,KKR,Andre Russell,276298,2.2,0,36,0,15.42,6,2,3,1,1
66,1304052,KKR Vs RCB,KKR,Sunil Narine,230558,4,0,12,1,3.00,13,0,0,0,0
67,1304052,KKR Vs RCB,KKR,Varun Chakravarthy,1108375,4,0,33,1,8.25,11,3,2,1,0
68,1304052,KKR Vs RCB,KKR,Venkatesh Iyer,851403,1,0,10,0,10.00,2,2,0,0,0
69,1304053,Super Kings Vs Super Giants,Super Giants,Avesh Khan,694211,4,0,38,2,9.50,12,5,2,0,0
70,1304053,Super Kings Vs Super Giants,Super Giants,Dushmantha Chameera,552152,4,0,49,0,12.25,6,6,2,1,0
71,1304053,Super Kings Vs Super Giants,Super Giants,Andrew Tye,459508,4,0,40,2,10.00,10,6,1,1,0
72,1304053,Super Kings Vs Super Giants,Super Giants,Krunal Pandya,471342,3,0,36,0,12.00,3,3,2,1,0
73,1304053,Super Kings Vs Super Giants,Super Giants,Ravi Bishnoi,1175441,4,0,24,2,6.00,11,3,0,0,0
74,1304053,Super Kings Vs Super Giants,Super Giants,Deepak Hooda,497121,1,0,12,0,12.00,2,1,1,0,0
75,1304053,Super Kings Vs Super Giants,Super Kings,Mukesh Choudhary,1125688,3.3,0,39,0,11.14,8,4,2,3,0
76,1304053,Super Kings Vs Super Giants,Super Kings,Tushar Deshpande,822553,4,0,40,1,10.00,9,6,1,1,0
77,1304053,Super Kings Vs Super Giants,Super Kings,Dwayne Bravo,51439,4,0,35,1,8.75,6,2,1,3,0
78,1304053,Super Kings Vs Super Giants,Super Kings,Ravindra Jadeja,234675,2,0,21,0,10.50,3,2,1,0,0
79,1304053,Super Kings Vs Super Giants,Super Kings,Moeen Ali,8917,1,0,14,0,14.00,1,1,1,0,0
80,1304053,Super Kings Vs Super Giants,Super Kings,Dwaine Pretorius,327830,4,0,31,2,7.75,9,1,1,3,0
81,1304053,Super Kings Vs Super Giants,Super Kings,Shivam Dube,714451,1,0,25,0,25.00,0,2,2,2,0
82,1304054,Punjab Kings Vs KKR,KKR,Umesh Yadav,376116,4,1,23,4,5.75,13,2,1,0,1
83,1304054,Punjab Kings Vs KKR,KKR,Tim Southee,232364,4,0,36,2,9.00,14,5,2,0,1
84,1304054,Punjab Kings Vs KKR,KKR,Shivam Mavi,1079848,2,0,39,1,19.50,4,3,4,2,0
85,1304054,Punjab Kings Vs KKR,KKR,Varun Chakravarthy,1108375,4,0,14,0,3.50,14,0,0,2,0
86,1304054,Punjab Kings Vs KKR,KKR,Sunil Narine,230558,4,0,23,1,5.75,13,1,1,2,0
87,1304054,Punjab Kings Vs KKR,KKR,Andre Russell,276298,0.2,0,0,1,0.00,2,0,0,0,0
88,1304054,Punjab Kings Vs KKR,Punjab Kings,Arshdeep Singh,1125976,3,0,32,0,10.66,9,5,1,0,1
89,1304054,Punjab Kings Vs KKR,Punjab Kings,Kagiso Rabada,550215,3,0,23,1,7.66,8,3,0,1,0
90,1304054,Punjab Kings Vs KKR,Punjab Kings,Odean Smith,820691,2,0,39,1,19.50,4,3,4,0,1
91,1304054,Punjab Kings Vs KKR,Punjab Kings,Rahul Chahar,1064812,4,1,13,2,3.25,13,0,0,1,0
92,1304054,Punjab Kings Vs KKR,Punjab Kings,Harpreet Brar,1168641,2,0,20,0,10.00,4,0,2,1,0
93,1304054,Punjab Kings Vs KKR,Punjab Kings,Liam Livingstone,403902,0.3,0,13,0,26.00,0,0,2,0,0
94,1304055,Royals Vs Mumbai,Mumbai,Jasprit Bumrah,625383,4,0,17,3,4.25,16,3,0,0,0
