Team 1,Team 2,Winner,Margin,Ground,Match Date,Match Link,Match ID
Super Kings,KKR,KKR,6 wickets,Wankhede,"Mar 26, 2022",/ci/engine/match/1304047.html,1304047
Capitals,Mumbai,Capitals,4 wickets,Brabourne,"Mar 27, 2022",/ci/engine/match/1304048.html,1304048
Punjab Kings,RCB,Punjab Kings,5 wickets,DY Patil,"Mar 27, 2022",/ci/engine/match/1304049.html,1304049
Titans,Super Giants,Titans,5 wickets,Wankhede,"Mar 28, 2022",/ci/engine/match/1304050.html,1304050
Sunrisers,Royals,Royals,61 runs,Pune,"Mar 29, 2022",/ci/engine/match/1304051.html,1304051
RCB,KKR,RCB,3 wickets,DY Patil,"Mar 30, 2022",/ci/engine/match/1304052.html,1304052
Super Giants,Super Kings,Super Giants,6 wickets,Brabourne,"Mar 31, 2022",/ci/engine/match/1304053.html,1304053
KKR,Punjab Kings,KKR,6 wickets,Wankhede,"Apr 1, 2022",/ci/engine/match/1304054.html,1304054
Mumbai,Royals,Royals,23 runs,DY Patil,"Apr 2, 2022",/ci/engine/match/1304055.html,1304055
Titans,Capitals,Titans,14 runs,Pune,"Apr 2, 2022",/ci/engine/match/1304056.html,1304056
Super Kings,Punjab Kings,Punjab Kings,54 runs,Brabourne,"Apr 3, 2022",/ci/engine/match/1304057.html,1304057
Sunrisers,Super Giants,Super Giants,12 runs,DY Patil,"Apr 4, 2022",/ci/engine/match/1304058.html,1304058
Royals,RCB,RCB,4 wickets,Wankhede,"Apr 5, 2022",/ci/engine/match/1304059.html,1304059
KKR,Mumbai,KKR,5 wickets,Pune,"Apr 6, 2022",/ci/engine/match/1304060.html,1304060
Super Giants,Capitals,Super Giants,6 wickets,DY Patil,"Apr 7, 2022",/ci/engine/match/1304061.html,1304061
Punjab Kings,Titans,Titans,6 wickets,Brabourne,"Apr 8, 2022",/ci/engine/match/1304062.html,1304062
Super Kings,Sunrisers,Sunrisers,8 wickets,DY Patil,"Apr 9, 2022",/ci/engine/match/1304063.html,1304063
RCB,Mumbai,RCB,7 wickets,Pune,"Apr 9, 2022",/ci/engine/match/1304064.html,1304064
KKR,Capitals,Capitals,44 runs,Brabourne,"Apr 10, 2022",/ci/engine/match/1304065.html,1304065
Royals,Super Giants,Royals,3 runs,Wankhede,"Apr 10, 2022",/ci/engine/match/1304066.html,1304066
Sunrisers,Titans,Sunrisers,8 wickets,DY Patil,"Apr 11, 2022",/ci/engine/match/1304067.html,1304067
Super Kings,RCB,Super Kings,23 runs,DY Patil,"Apr 12, 2022",/ci/engine/match/1304068.html,1304068
Mumbai,Punjab Kings,Punjab Kings,12 runs,Pune,"Apr 13, 2022",/ci/engine/match/1304069.html,1304069
Royals,Titans,Titans,37 runs,DY Patil,"Apr 14, 2022",/ci/engine/match/1304070.html,1304070
Sunrisers,KKR,Sunrisers,7 wickets,Brabourne,"Apr 15, 2022",/ci/engine/match/1304071.html,1304071
