,Player ID,Player Name,Team,Age,Country,Playing Role,Batting Style,Bowling Style
0,1060380,Ruturaj Dashrat Gaikwad,Super Kings,26y 12d,India,Batter,Right hand Bat,Right arm Offbreak
1,379140,Devon Philip Conway,Super Kings,31y 219d,New Zealand,Wicketkeeper Batter,Left hand Bat,Right arm Medium
2,35582,Robin Venu Uthappa,Super Kings,37y 93d,India,Batter,Right hand Bat,Right arm Medium
3,33141,Ambati Thirupathi Rayudu,Super Kings,37y 142d,India,Middle order Batter,Right hand Bat,Right arm Offbreak
4,234675,Ravindrasinh Anirudhsinh Jadeja,Super Kings,34y 68d,India,Allrounder,Left hand Bat,Slow Left arm Orthodox
5,714451,Shivam Dube,Super Kings,29y 231d,India,Allrounder,Left hand Bat,Right arm Medium
6,28081,Mahendra Singh Dhoni,Super Kings,41y 220d,India,Wicketkeeper Batter,Right hand Bat,Right arm Medium
7,376116,Umeshkumar Tilak Yadav,KKR,35y 110d,India,Bowler,Right hand Bat,Right arm Fast
8,1079848,Shivam Pankaj Mavi,KKR,24y 78d,India,Bowler,Right hand Bat,Right arm Fast medium
9,1108375,Varun Chakravarthy Vinod,KKR,31y 167d,India,Bowler,Right hand Bat,Legbreak Googly
10,230558,Sunil Philip Narine,KKR,34y 262d,West Indies,Bowling Allrounder,Left hand Bat,Right arm Offbreak
11,276298,Andre Dwayne Russell,KKR,34y 289d,West Indies,Allrounder,Right hand Bat,Right arm Fast
12,277916,Ajinkya Madhukar Rahane,KKR,34y 251d,India,Top order Batter,Right hand Bat,Right arm Medium
13,851403,Venkatesh Rajasekaran Iyer,KKR,28y 49d,India,Allrounder,Left hand Bat,Right arm Medium
14,604527,Nitish Rana,KKR,29y 47d,India,Middle order Batter,Left hand Bat,"Right arm Medium, Right arm Offbreak"
15,642519,Shreyas Santosh Iyer,KKR,28y 68d,India,Top order Batter,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
16,297628,Samuel William Billings,KKR,31y 242d,England,Wicketkeeper Batter,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
17,237696,Sheldon Philip Jackson,KKR,36y 138d,India,Wicketkeeper Batter,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
18,822553,Tushar Uday Deshpande,Super Kings,27y 273d,India,Bowler,Left hand Bat,Right arm Medium
19,450860,Adam Fraser Milne,Super Kings,30y 305d,New Zealand,Bowler,Right hand Bat,Right arm Fast
20,502714,Mitchell Josef Santner,Super Kings,31y 7d,New Zealand,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox
21,51439,Dwayne John Bravo,Super Kings,39y 128d,West Indies,Allrounder,Right hand Bat,Right arm Medium
22,34102,Rohit Gurunath Sharma,Mumbai,35y 288d,India,Top order Batter,Right hand Bat,Right arm Offbreak
23,720471,Ishan Pranav Kumar Pandey Kishan,Mumbai,24y 209d,India,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak
24,851261,Anmolpreet Singh,Mumbai,24y 321d,India,Batter,Right hand Bat,Right arm Offbreak
25,1170265,Namboori Thakur Tilak Varma,Mumbai,20y 96d,India,Batting Allrounder,Left hand Bat,Right arm Offbreak
26,230559,Kieron Adrian Pollard,Mumbai,35y 276d,West Indies,Batting Allrounder,Right hand Bat,Right arm Medium
27,892749,Timothy Hays David,Mumbai,26y 333d,Australia,Middle order Batter,Right hand Bat,Right arm Offbreak
28,826901,Daniel Richard Sams,Mumbai,30y 108d,Australia,Allrounder,Right hand Bat,Left arm Fast medium
29,475281,Shardul Narendra Thakur,Capitals,31y 119d,India,Bowler,Right hand Bat,Right arm Medium
30,942645,Khaleel Khursheed Ahmed,Capitals,25y 69d,India,Bowler,Right hand Bat,Left arm Medium
31,554691,Axar Rajeshbhai Patel,Capitals,29y 23d,India,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox
32,1070188,Kamlesh Lachham Nagarkoti,Capitals,23y 46d,India,Bowler,Right hand Bat,Right arm Fast
33,559235,Kuldeep Yadav,Capitals,28y 60d,India,Bowler,Left hand Bat,Left arm Wrist spin
34,930189,Lalit Yadav,Capitals,26y 40d,India,Allrounder,Right hand Bat,Right arm Offbreak
